Perturbation	Ensemble average response
[CSKi]	2.98
[PRKACAi]	2.98
[PRKCAi]	2.9788888888888887
[VAV1i]	2.9744444444444444
[RSK_fi]	1.98
[SKP2i]	2.974212034383954
[TGFB1i]	2.98
[LIFi]	2.98
[ILR_fi]	2.9598108747044916
[CREBBPi]	2.971563981042654
[DUSP1_gi]	2.98
[EP300i]	2.98
[SMAD7_gi]	2.98
[SMAD6_gi]	2.977578475336323
[CCND1i]	1.9789227166276346
[DKK_gi]	2.977777777777778
[NLKi]	2.98
[TCF7_fi]	2.904392764857881
[LEF1i]	2.84
[EGR1i]	2.98
[MMP_fi]	2.364611260053619
[BTRCi]	2.98
[CTNNB1i]	2.7632911392405064
[SFRP1_gi]	2.98
[SFRP1i]	2.98
[CFLARi]	1.931937172774869
[MSK_fi]	2.98
[RTPK_gi]	2.98
[FZD_fi]	2.98
[DKK_fi]	2.977777777777778
[LRP_fi]	2.858108108108108
[PIK3CAi]	2.776666666666667
[MAP3K8i]	2.977272727272727
[BAXi]	2.98
[CYCSi]	2.98
[S6K_fi]	2.98
[MDM2_gi]	2.98
[mTORC2_ci]	2.98
[BADi]	2.98
[RHEBi]	2.98
[BCL2i]	2.5714285714285716
[AKT1S1i]	2.98
[TSC_fi]	2.98
[FOXO_fi]	2.98
[PTEN_gi]	2.98
[CASP8i]	2.98
[IRS1i]	2.98
[CHUKi]	2.8510028653295127
[GAB_fi]	2.9759036144578315
[PTPN11i]	2.976923076923077
[GRAP2i]	2.98
[MAP3K11i]	2.98
[MAP3K4i]	2.98
[MAP2K4i]	2.9913793103448274
[DUSP1i]	2.8434579439252334
[MAP3K5i]	2.98
[MAP2K3i]	2.98
[DUSP6i]	2.971590909090909
[RAF_fi]	2.98
[KRASi]	2.9807073954983925
[RTPK_fi]	2.1145584725536994
[SOS1i]	2.9859154929577465
[GRB2i]	2.9759036144578315
[PLCG1i]	2.98
[PTPN6i]	2.98
[SYKi]	2.9744444444444444
[CASP9i]	3.0
[PDPK1i]	2.5591517857142856
[ILKi]	2.97
[PAK1i]	2.97
[MEK_fi]	2.9767441860465116
[SOCS1_gi]	2.9706546275395036
[mTORC1_ci]	2.970873786407767
[PRKCDi]	2.9794050343249427
[PLK1i]	2.9789719626168223
[MAPKAPK2i]	2.9799107142857144
[IRAK1i]	2.9793103448275864
[ISGF3_ci]	2.98
[SOCS1i]	2.9706546275395036
[STAT3i]	2.98
[STAT1i]	2.9706546275395036
[STAT2i]	2.98
[JAK_fi]	2.98
[AXIN1i]	2.977777777777778
[MDM2i]	2.5767326732673266
[CK1_fi]	2.98
[ITCHi]	2.96
[TP53i]	2.98
[NFKB_fi]	2.98
[IKBKBi]	2.977272727272727
[REL_fi]	2.98
[PIAS1i]	2.9799107142857144
[AKT_fi]	1.844504021447721
[MAPK14i]	2.9055299539170507
[CBPp300_ci]	2.902439024390244
[SKIi]	2.98
[PPM1Ai]	2.98
[ERK_fi]	2.9233716475095783
[GSK3_fi]	2.98
[PPP1CAi]	3.0
[TAB_fi]	2.977272727272727
[MAP3K7i]	2.977272727272727
[SMAD4i]	2.98
[SMAD1i]	2.98
[SMAD5i]	2.98
[BMPR2i]	2.98
[ACVR1i]	2.98
[SRCi]	2.98
[SMAD3i]	2.98
[SHC1i]	2.9759036144578315
[SMAD6i]	2.977578475336323
[TRAF6i]	2.9787735849056602
[SMAD7i]	2.984375
[SMURF1i]	2.979020979020979
[SMURF2i]	2.9466666666666668
[SMAD2i]	2.977329974811083
[TGFBR2i]	2.98
[TGFBR1i]	2.98
[DVL_fi]	2.98
[DAAM1i]	2.98
[PARD6Ai]	2.98
[AP1_ci]	2.9621559633027523
[MYCi]	1.9668367346938775
[JUNi]	2.98
[ATF2i]	2.98
[FOSi]	2.98
[SRFi]	2.98
[PTENi]	2.98
[CFL_fi]	2.98
[LIMK1i]	2.98
[LIMK2i]	2.98
[CDC42i]	2.98
[ARHGAP24i]	2.98
[RAC_fi]	2.9699367088607596
[TIAM1i]	2.98
[RHOAi]	2.98
[RND3i]	2.98
[CASP3i]	2.98
[JNK_fi]	2.96
[MAP2K7i]	2.98
[MAPK8IP3i]	2.98
[ROCK1i]	2.98
[Prosurvivali]	2.98
[Antisurvivali]	2.98
[CSKi]-[PRKACAi]	2.98
[CSKi]-[PRKCAi]	2.9788888888888887
[CSKi]-[VAV1i]	2.977777777777778
[CSKi]-[RSK_fi]	1.98
[CSKi]-[SKP2i]	2.974212034383954
[CSKi]-[TGFB1i]	2.98
[CSKi]-[LIFi]	2.98
[CSKi]-[ILR_fi]	2.9628770301624128
[CSKi]-[CREBBPi]	2.979775280898876
[CSKi]-[DUSP1_gi]	2.98
[CSKi]-[EP300i]	2.98
[CSKi]-[SMAD7_gi]	2.98
[CSKi]-[SMAD6_gi]	2.977578475336323
[CSKi]-[CCND1i]	1.9789227166276346
[CSKi]-[DKK_gi]	2.977777777777778
[CSKi]-[NLKi]	2.98
[CSKi]-[TCF7_fi]	2.9069767441860463
[CSKi]-[LEF1i]	2.84
[CSKi]-[EGR1i]	2.98
[CSKi]-[MMP_fi]	2.3672922252010724
[CSKi]-[BTRCi]	2.98
[CSKi]-[CTNNB1i]	2.768354430379747
[CSKi]-[SFRP1_gi]	2.98
[CSKi]-[SFRP1i]	2.98
[CSKi]-[CFLARi]	1.9345549738219896
[CSKi]-[MSK_fi]	2.98
[CSKi]-[RTPK_gi]	2.98
[CSKi]-[FZD_fi]	2.98
[CSKi]-[DKK_fi]	2.977777777777778
[CSKi]-[LRP_fi]	2.858108108108108
[CSKi]-[PIK3CAi]	2.78
[CSKi]-[MAP3K8i]	2.977272727272727
[CSKi]-[BAXi]	2.98
[CSKi]-[CYCSi]	2.98
[CSKi]-[S6K_fi]	2.98
[CSKi]-[MDM2_gi]	2.98
[CSKi]-[mTORC2_ci]	2.98
[CSKi]-[BADi]	2.98
[CSKi]-[RHEBi]	2.98
[CSKi]-[BCL2i]	2.5737704918032787
[CSKi]-[AKT1S1i]	2.98
[CSKi]-[TSC_fi]	2.98
[CSKi]-[FOXO_fi]	2.98
[CSKi]-[PTEN_gi]	2.98
[CSKi]-[CASP8i]	2.98
[CSKi]-[IRS1i]	2.98
[CSKi]-[CHUKi]	2.871232876712329
[CSKi]-[GAB_fi]	2.9759036144578315
[CSKi]-[PTPN11i]	2.976923076923077
[CSKi]-[GRAP2i]	2.98
[CSKi]-[MAP3K11i]	2.98
[CSKi]-[MAP3K4i]	2.98
[CSKi]-[MAP2K4i]	2.9913793103448274
[CSKi]-[DUSP1i]	2.8434579439252334
[CSKi]-[MAP3K5i]	2.98
[CSKi]-[MAP2K3i]	2.98
[CSKi]-[DUSP6i]	2.971590909090909
[CSKi]-[RAF_fi]	2.98
[CSKi]-[KRASi]	2.9807073954983925
[CSKi]-[RTPK_fi]	2.116945107398568
[CSKi]-[SOS1i]	2.9859154929577465
[CSKi]-[GRB2i]	2.9759036144578315
[CSKi]-[PLCG1i]	2.9788888888888887
[CSKi]-[PTPN6i]	2.98
[CSKi]-[SYKi]	2.9766666666666666
[CSKi]-[CASP9i]	3.0
[CSKi]-[PDPK1i]	2.5644444444444443
[CSKi]-[ILKi]	2.97
[CSKi]-[PAK1i]	2.97
[CSKi]-[MEK_fi]	2.9767441860465116
[CSKi]-[SOCS1_gi]	2.9706546275395036
[CSKi]-[mTORC1_ci]	2.970873786407767
[CSKi]-[PRKCDi]	2.98
[CSKi]-[PLK1i]	2.9789719626168223
[CSKi]-[MAPKAPK2i]	2.9799107142857144
[CSKi]-[IRAK1i]	2.9793103448275864
[CSKi]-[ISGF3_ci]	2.98
[CSKi]-[SOCS1i]	2.9706546275395036
[CSKi]-[STAT3i]	2.98
[CSKi]-[STAT1i]	2.9706546275395036
[CSKi]-[STAT2i]	2.98
[CSKi]-[JAK_fi]	2.98
[CSKi]-[AXIN1i]	2.977777777777778
[CSKi]-[MDM2i]	2.620608899297424
[CSKi]-[CK1_fi]	2.98
[CSKi]-[ITCHi]	2.964
[CSKi]-[TP53i]	2.98
[CSKi]-[NFKB_fi]	2.98
[CSKi]-[IKBKBi]	2.977272727272727
[CSKi]-[REL_fi]	2.98
[CSKi]-[PIAS1i]	2.9799107142857144
[CSKi]-[AKT_fi]	1.844504021447721
[CSKi]-[MAPK14i]	2.9055299539170507
[CSKi]-[CBPp300_ci]	2.9688195991091315
[CSKi]-[SKIi]	2.98
[CSKi]-[PPM1Ai]	2.98
[CSKi]-[ERK_fi]	2.9233716475095783
[CSKi]-[GSK3_fi]	2.98
[CSKi]-[PPP1CAi]	3.0
[CSKi]-[TAB_fi]	2.977272727272727
[CSKi]-[MAP3K7i]	2.977272727272727
[CSKi]-[SMAD4i]	2.98
[CSKi]-[SMAD1i]	2.98
[CSKi]-[SMAD5i]	2.98
[CSKi]-[BMPR2i]	2.98
[CSKi]-[ACVR1i]	2.98
[CSKi]-[SRCi]	2.98
[CSKi]-[SMAD3i]	2.98
[CSKi]-[SHC1i]	2.9759036144578315
[CSKi]-[SMAD6i]	2.977578475336323
[CSKi]-[TRAF6i]	2.9787735849056602
[CSKi]-[SMAD7i]	2.984375
[CSKi]-[SMURF1i]	2.979020979020979
[CSKi]-[SMURF2i]	2.9466666666666668
[CSKi]-[SMAD2i]	2.977329974811083
[CSKi]-[TGFBR2i]	2.98
[CSKi]-[TGFBR1i]	2.98
[CSKi]-[DVL_fi]	2.98
[CSKi]-[DAAM1i]	2.98
[CSKi]-[PARD6Ai]	2.98
[CSKi]-[AP1_ci]	2.9655963302752295
[CSKi]-[MYCi]	1.9668367346938775
[CSKi]-[JUNi]	2.98
[CSKi]-[ATF2i]	2.98
[CSKi]-[FOSi]	2.98
[CSKi]-[SRFi]	2.98
[CSKi]-[PTENi]	2.98
[CSKi]-[CFL_fi]	2.98
[CSKi]-[LIMK1i]	2.98
[CSKi]-[LIMK2i]	2.98
[CSKi]-[CDC42i]	2.98
[CSKi]-[ARHGAP24i]	2.98
[CSKi]-[RAC_fi]	2.9753086419753085
[CSKi]-[TIAM1i]	2.98
[CSKi]-[RHOAi]	2.98
[CSKi]-[RND3i]	2.98
[CSKi]-[CASP3i]	2.98
[CSKi]-[JNK_fi]	2.964
[CSKi]-[MAP2K7i]	2.98
[CSKi]-[MAPK8IP3i]	2.98
[CSKi]-[ROCK1i]	2.98
[CSKi]-[Prosurvivali]	2.98
[CSKi]-[Antisurvivali]	2.98
[PRKACAi]-[PRKCAi]	2.9788888888888887
[PRKACAi]-[VAV1i]	2.977777777777778
[PRKACAi]-[RSK_fi]	1.98
[PRKACAi]-[SKP2i]	2.974212034383954
[PRKACAi]-[TGFB1i]	2.98
[PRKACAi]-[LIFi]	2.98
[PRKACAi]-[ILR_fi]	2.9628770301624128
[PRKACAi]-[CREBBPi]	2.979775280898876
[PRKACAi]-[DUSP1_gi]	2.98
[PRKACAi]-[EP300i]	2.98
[PRKACAi]-[SMAD7_gi]	2.98
[PRKACAi]-[SMAD6_gi]	2.977578475336323
[PRKACAi]-[CCND1i]	1.9789227166276346
[PRKACAi]-[DKK_gi]	2.977777777777778
[PRKACAi]-[NLKi]	2.98
[PRKACAi]-[TCF7_fi]	2.9069767441860463
[PRKACAi]-[LEF1i]	2.84
[PRKACAi]-[EGR1i]	2.98
[PRKACAi]-[MMP_fi]	2.3672922252010724
[PRKACAi]-[BTRCi]	2.98
[PRKACAi]-[CTNNB1i]	2.768354430379747
[PRKACAi]-[SFRP1_gi]	2.98
[PRKACAi]-[SFRP1i]	2.98
[PRKACAi]-[CFLARi]	1.9345549738219896
[PRKACAi]-[MSK_fi]	2.98
[PRKACAi]-[RTPK_gi]	2.98
[PRKACAi]-[FZD_fi]	2.98
[PRKACAi]-[DKK_fi]	2.977777777777778
[PRKACAi]-[LRP_fi]	2.858108108108108
[PRKACAi]-[PIK3CAi]	2.78
[PRKACAi]-[MAP3K8i]	2.977272727272727
[PRKACAi]-[BAXi]	2.98
[PRKACAi]-[CYCSi]	2.98
[PRKACAi]-[S6K_fi]	2.98
[PRKACAi]-[MDM2_gi]	2.98
[PRKACAi]-[mTORC2_ci]	2.98
[PRKACAi]-[BADi]	2.98
[PRKACAi]-[RHEBi]	2.98
[PRKACAi]-[BCL2i]	2.5737704918032787
[PRKACAi]-[AKT1S1i]	2.98
[PRKACAi]-[TSC_fi]	2.98
[PRKACAi]-[FOXO_fi]	2.98
[PRKACAi]-[PTEN_gi]	2.98
[PRKACAi]-[CASP8i]	2.98
[PRKACAi]-[IRS1i]	2.98
[PRKACAi]-[CHUKi]	2.871232876712329
[PRKACAi]-[GAB_fi]	2.9759036144578315
[PRKACAi]-[PTPN11i]	2.976923076923077
[PRKACAi]-[GRAP2i]	2.98
