Perturbation	Ensemble average response
[PRKACAi]-[MAP3K11i]	2.98
[PRKACAi]-[MAP3K4i]	2.98
[PRKACAi]-[MAP2K4i]	2.9913793103448274
[PRKACAi]-[DUSP1i]	2.8434579439252334
[PRKACAi]-[MAP3K5i]	2.98
[PRKACAi]-[MAP2K3i]	2.98
[PRKACAi]-[DUSP6i]	2.971590909090909
[PRKACAi]-[RAF_fi]	2.98
[PRKACAi]-[KRASi]	2.9807073954983925
[PRKACAi]-[RTPK_fi]	2.116945107398568
[PRKACAi]-[SOS1i]	2.9859154929577465
[PRKACAi]-[GRB2i]	2.9759036144578315
[PRKACAi]-[PLCG1i]	2.9788888888888887
[PRKACAi]-[PTPN6i]	2.98
[PRKACAi]-[SYKi]	2.9766666666666666
[PRKACAi]-[CASP9i]	3.0
[PRKACAi]-[PDPK1i]	2.5644444444444443
[PRKACAi]-[ILKi]	2.97
[PRKACAi]-[PAK1i]	2.97
[PRKACAi]-[MEK_fi]	2.9767441860465116
[PRKACAi]-[SOCS1_gi]	2.9706546275395036
[PRKACAi]-[mTORC1_ci]	2.970873786407767
[PRKACAi]-[PRKCDi]	2.98
[PRKACAi]-[PLK1i]	2.9789719626168223
[PRKACAi]-[MAPKAPK2i]	2.9799107142857144
[PRKACAi]-[IRAK1i]	2.9793103448275864
[PRKACAi]-[ISGF3_ci]	2.98
[PRKACAi]-[SOCS1i]	2.9706546275395036
[PRKACAi]-[STAT3i]	2.98
[PRKACAi]-[STAT1i]	2.9706546275395036
[PRKACAi]-[STAT2i]	2.98
[PRKACAi]-[JAK_fi]	2.98
[PRKACAi]-[AXIN1i]	2.977777777777778
[PRKACAi]-[MDM2i]	2.620608899297424
[PRKACAi]-[CK1_fi]	2.98
[PRKACAi]-[ITCHi]	2.964
[PRKACAi]-[TP53i]	2.98
[PRKACAi]-[NFKB_fi]	2.98
[PRKACAi]-[IKBKBi]	2.977272727272727
[PRKACAi]-[REL_fi]	2.98
[PRKACAi]-[PIAS1i]	2.9799107142857144
[PRKACAi]-[AKT_fi]	1.844504021447721
[PRKACAi]-[MAPK14i]	2.9055299539170507
[PRKACAi]-[CBPp300_ci]	2.9688195991091315
[PRKACAi]-[SKIi]	2.98
[PRKACAi]-[PPM1Ai]	2.98
[PRKACAi]-[ERK_fi]	2.9233716475095783
[PRKACAi]-[GSK3_fi]	2.98
[PRKACAi]-[PPP1CAi]	3.0
[PRKACAi]-[TAB_fi]	2.977272727272727
[PRKACAi]-[MAP3K7i]	2.977272727272727
[PRKACAi]-[SMAD4i]	2.98
[PRKACAi]-[SMAD1i]	2.98
[PRKACAi]-[SMAD5i]	2.98
[PRKACAi]-[BMPR2i]	2.98
[PRKACAi]-[ACVR1i]	2.98
[PRKACAi]-[SRCi]	2.98
[PRKACAi]-[SMAD3i]	2.98
[PRKACAi]-[SHC1i]	2.9759036144578315
[PRKACAi]-[SMAD6i]	2.977578475336323
[PRKACAi]-[TRAF6i]	2.9787735849056602
[PRKACAi]-[SMAD7i]	2.984375
[PRKACAi]-[SMURF1i]	2.979020979020979
[PRKACAi]-[SMURF2i]	2.9466666666666668
[PRKACAi]-[SMAD2i]	2.977329974811083
[PRKACAi]-[TGFBR2i]	2.98
[PRKACAi]-[TGFBR1i]	2.98
[PRKACAi]-[DVL_fi]	2.98
[PRKACAi]-[DAAM1i]	2.98
[PRKACAi]-[PARD6Ai]	2.98
[PRKACAi]-[AP1_ci]	2.9655963302752295
[PRKACAi]-[MYCi]	1.9668367346938775
[PRKACAi]-[JUNi]	2.98
[PRKACAi]-[ATF2i]	2.98
[PRKACAi]-[FOSi]	2.98
[PRKACAi]-[SRFi]	2.98
[PRKACAi]-[PTENi]	2.98
[PRKACAi]-[CFL_fi]	2.98
[PRKACAi]-[LIMK1i]	2.98
[PRKACAi]-[LIMK2i]	2.98
[PRKACAi]-[CDC42i]	2.98
[PRKACAi]-[ARHGAP24i]	2.98
[PRKACAi]-[RAC_fi]	2.9753086419753085
[PRKACAi]-[TIAM1i]	2.98
[PRKACAi]-[RHOAi]	2.98
[PRKACAi]-[RND3i]	2.98
[PRKACAi]-[CASP3i]	2.98
[PRKACAi]-[JNK_fi]	2.964
[PRKACAi]-[MAP2K7i]	2.98
[PRKACAi]-[MAPK8IP3i]	2.98
[PRKACAi]-[ROCK1i]	2.98
[PRKACAi]-[Prosurvivali]	2.98
[PRKACAi]-[Antisurvivali]	2.98
[PRKCAi]-[VAV1i]	2.973333333333333
[PRKCAi]-[RSK_fi]	1.978888888888889
[PRKCAi]-[SKP2i]	2.9727793696275073
[PRKCAi]-[TGFB1i]	2.9788888888888887
[PRKCAi]-[LIFi]	2.9788888888888887
[PRKCAi]-[ILR_fi]	2.9598108747044916
[PRKCAi]-[CREBBPi]	2.970379146919431
[PRKCAi]-[DUSP1_gi]	2.9788888888888887
[PRKCAi]-[EP300i]	2.9788888888888887
[PRKCAi]-[SMAD7_gi]	2.9788888888888887
[PRKCAi]-[SMAD6_gi]	2.976457399103139
[PRKCAi]-[CCND1i]	1.9777517564402811
[PRKCAi]-[DKK_gi]	2.977777777777778
[PRKCAi]-[NLKi]	2.9788888888888887
[PRKCAi]-[TCF7_fi]	2.904392764857881
[PRKCAi]-[LEF1i]	2.84
[PRKCAi]-[EGR1i]	2.9788888888888887
[PRKCAi]-[MMP_fi]	2.3665768194070083
[PRKCAi]-[BTRCi]	2.98
[PRKCAi]-[CTNNB1i]	2.7632911392405064
[PRKCAi]-[SFRP1_gi]	2.9788888888888887
[PRKCAi]-[SFRP1i]	2.9788888888888887
[PRKCAi]-[CFLARi]	1.9306282722513088
[PRKCAi]-[MSK_fi]	2.9788888888888887
[PRKCAi]-[RTPK_gi]	2.9644444444444447
[PRKCAi]-[FZD_fi]	2.9788888888888887
[PRKCAi]-[DKK_fi]	2.977777777777778
[PRKCAi]-[LRP_fi]	2.8445945945945947
[PRKCAi]-[PIK3CAi]	2.7755555555555556
[PRKCAi]-[MAP3K8i]	2.976010101010101
[PRKCAi]-[BAXi]	2.9788888888888887
[PRKCAi]-[CYCSi]	2.9788888888888887
[PRKCAi]-[S6K_fi]	2.9788888888888887
[PRKCAi]-[MDM2_gi]	2.9755555555555557
[PRKCAi]-[mTORC2_ci]	2.9788888888888887
[PRKCAi]-[BADi]	2.9788888888888887
[PRKCAi]-[RHEBi]	2.9788888888888887
[PRKCAi]-[BCL2i]	2.570257611241218
[PRKCAi]-[AKT1S1i]	2.9788888888888887
[PRKCAi]-[TSC_fi]	2.9788888888888887
[PRKCAi]-[FOXO_fi]	2.968888888888889
[PRKCAi]-[PTEN_gi]	2.9788888888888887
[PRKCAi]-[CASP8i]	2.9788888888888887
[PRKCAi]-[IRS1i]	2.9788888888888887
[PRKCAi]-[CHUKi]	2.8510028653295127
[PRKCAi]-[GAB_fi]	2.974698795180723
[PRKCAi]-[PTPN11i]	2.9756410256410257
[PRKCAi]-[GRAP2i]	2.9788888888888887
[PRKCAi]-[MAP3K11i]	2.9788888888888887
[PRKCAi]-[MAP3K4i]	2.9788888888888887
[PRKCAi]-[MAP2K4i]	2.9899425287356323
[PRKCAi]-[DUSP1i]	2.8434579439252334
[PRKCAi]-[MAP3K5i]	2.9788888888888887
[PRKCAi]-[MAP2K3i]	2.9788888888888887
[PRKCAi]-[DUSP6i]	2.9701704545454546
[PRKCAi]-[RAF_fi]	2.98
[PRKCAi]-[KRASi]	2.9807073954983925
[PRKCAi]-[RTPK_fi]	2.112980769230769
[PRKCAi]-[SOS1i]	2.9859154929577465
[PRKCAi]-[GRB2i]	2.974698795180723
[PRKCAi]-[PLCG1i]	2.98
[PRKCAi]-[PTPN6i]	2.9788888888888887
[PRKCAi]-[SYKi]	2.9744444444444444
[PRKCAi]-[CASP9i]	3.0
[PRKCAi]-[PDPK1i]	2.5580357142857144
[PRKCAi]-[ILKi]	2.962222222222222
[PRKCAi]-[PAK1i]	2.962222222222222
[PRKCAi]-[MEK_fi]	2.9767441860465116
[PRKCAi]-[SOCS1_gi]	2.9706546275395036
[PRKCAi]-[mTORC1_ci]	2.969255663430421
[PRKCAi]-[PRKCDi]	2.9794050343249427
[PRKCAi]-[PLK1i]	2.977803738317757
[PRKCAi]-[MAPKAPK2i]	2.9720982142857144
[PRKCAi]-[IRAK1i]	2.9563218390804598
[PRKCAi]-[ISGF3_ci]	2.9788888888888887
[PRKCAi]-[SOCS1i]	2.9706546275395036
[PRKCAi]-[STAT3i]	2.9788888888888887
[PRKCAi]-[STAT1i]	2.9706546275395036
[PRKCAi]-[STAT2i]	2.9788888888888887
[PRKCAi]-[JAK_fi]	2.9788888888888887
[PRKCAi]-[AXIN1i]	2.976543209876543
[PRKCAi]-[MDM2i]	2.573019801980198
[PRKCAi]-[CK1_fi]	2.98
[PRKCAi]-[ITCHi]	2.958
[PRKCAi]-[TP53i]	2.9788888888888887
[PRKCAi]-[NFKB_fi]	2.9788888888888887
[PRKCAi]-[IKBKBi]	2.976010101010101
[PRKCAi]-[REL_fi]	2.9788888888888887
[PRKCAi]-[PIAS1i]	2.9720982142857144
[PRKCAi]-[AKT_fi]	1.7831491712707181
[PRKCAi]-[MAPK14i]	2.8963133640552994
[PRKCAi]-[CBPp300_ci]	2.901219512195122
[PRKCAi]-[SKIi]	2.9788888888888887
[PRKCAi]-[PPM1Ai]	2.9788888888888887
[PRKCAi]-[ERK_fi]	2.9083969465648853
[PRKCAi]-[GSK3_fi]	2.9788888888888887
[PRKCAi]-[PPP1CAi]	3.0
[PRKCAi]-[TAB_fi]	2.976010101010101
[PRKCAi]-[MAP3K7i]	2.976010101010101
[PRKCAi]-[SMAD4i]	2.9788888888888887
[PRKCAi]-[SMAD1i]	2.9788888888888887
[PRKCAi]-[SMAD5i]	2.9788888888888887
[PRKCAi]-[BMPR2i]	2.9788888888888887
[PRKCAi]-[ACVR1i]	2.9788888888888887
[PRKCAi]-[SRCi]	2.9788888888888887
[PRKCAi]-[SMAD3i]	2.9788888888888887
[PRKCAi]-[SHC1i]	2.974698795180723
[PRKCAi]-[SMAD6i]	2.976457399103139
[PRKCAi]-[TRAF6i]	2.94811320754717
[PRKCAi]-[SMAD7i]	2.984375
[PRKCAi]-[SMURF1i]	2.9778554778554778
[PRKCAi]-[SMURF2i]	2.9455555555555555
[PRKCAi]-[SMAD2i]	2.9760705289672544
[PRKCAi]-[TGFBR2i]	2.9788888888888887
[PRKCAi]-[TGFBR1i]	2.9788888888888887
[PRKCAi]-[DVL_fi]	2.9788888888888887
[PRKCAi]-[DAAM1i]	2.9788888888888887
[PRKCAi]-[PARD6Ai]	2.9788888888888887
[PRKCAi]-[AP1_ci]	2.9610091743119265
[PRKCAi]-[MYCi]	1.965561224489796
[PRKCAi]-[JUNi]	2.9788888888888887
[PRKCAi]-[ATF2i]	2.9788888888888887
[PRKCAi]-[FOSi]	2.9788888888888887
[PRKCAi]-[SRFi]	2.9788888888888887
[PRKCAi]-[PTENi]	2.9788888888888887
[PRKCAi]-[CFL_fi]	2.9788888888888887
[PRKCAi]-[LIMK1i]	2.9788888888888887
[PRKCAi]-[LIMK2i]	2.9788888888888887
[PRKCAi]-[CDC42i]	2.9788888888888887
[PRKCAi]-[ARHGAP24i]	2.9788888888888887
[PRKCAi]-[RAC_fi]	2.943396226415094
[PRKCAi]-[TIAM1i]	2.9788888888888887
[PRKCAi]-[RHOAi]	2.9788888888888887
[PRKCAi]-[RND3i]	2.9788888888888887
[PRKCAi]-[CASP3i]	2.9788888888888887
[PRKCAi]-[JNK_fi]	2.958
[PRKCAi]-[MAP2K7i]	2.9788888888888887
[PRKCAi]-[MAPK8IP3i]	2.9788888888888887
[PRKCAi]-[ROCK1i]	2.9788888888888887
[PRKCAi]-[Prosurvivali]	2.9788888888888887
[PRKCAi]-[Antisurvivali]	2.9788888888888887
[VAV1i]-[RSK_fi]	1.9744444444444444
[VAV1i]-[SKP2i]	2.9670487106017194
[VAV1i]-[TGFB1i]	2.9744444444444444
[VAV1i]-[LIFi]	2.9744444444444444
[VAV1i]-[ILR_fi]	2.9598108747044916
[VAV1i]-[CREBBPi]	2.9623529411764706
[VAV1i]-[DUSP1_gi]	2.9744444444444444
[VAV1i]-[EP300i]	2.9744444444444444
[VAV1i]-[SMAD7_gi]	2.9744444444444444
[VAV1i]-[SMAD6_gi]	2.9719730941704037
[VAV1i]-[CCND1i]	1.9730679156908666
[VAV1i]-[DKK_gi]	2.971604938271605
[VAV1i]-[NLKi]	2.968888888888889
[VAV1i]-[TCF7_fi]	2.894871794871795
[VAV1i]-[LEF1i]	2.838888888888889
[VAV1i]-[EGR1i]	2.9744444444444444
[VAV1i]-[MMP_fi]	2.3664850136239783
[VAV1i]-[BTRCi]	2.9744444444444444
[VAV1i]-[CTNNB1i]	2.7600502512562812
[VAV1i]-[SFRP1_gi]	2.9744444444444444
[VAV1i]-[SFRP1i]	2.9744444444444444
[VAV1i]-[CFLARi]	1.9329758713136729
[VAV1i]-[MSK_fi]	2.9744444444444444
[VAV1i]-[RTPK_gi]	2.9744444444444444
[VAV1i]-[FZD_fi]	2.9853932584269662
[VAV1i]-[DKK_fi]	2.971604938271605
[VAV1i]-[LRP_fi]	2.851685393258427
[VAV1i]-[PIK3CAi]	2.7555552842881945
[VAV1i]-[MAP3K8i]	2.977272727272727
[VAV1i]-[BAXi]	2.9744444444444444
[VAV1i]-[CYCSi]	2.9744444444444444
[VAV1i]-[S6K_fi]	2.98
[VAV1i]-[MDM2_gi]	2.9744444444444444
[VAV1i]-[mTORC2_ci]	2.9744444444444444
[VAV1i]-[BADi]	2.9744444444444444
[VAV1i]-[RHEBi]	2.9744444444444444
[VAV1i]-[BCL2i]	2.581534772182254
[VAV1i]-[AKT1S1i]	2.9744444444444444
[VAV1i]-[TSC_fi]	2.9744444444444444
[VAV1i]-[FOXO_fi]	2.9744444444444444
[VAV1i]-[PTEN_gi]	2.9744444444444444
[VAV1i]-[CASP8i]	2.98
[VAV1i]-[IRS1i]	2.9744444444444444
[VAV1i]-[CHUKi]	2.837142857142857
[VAV1i]-[GAB_fi]	2.9698795180722892
[VAV1i]-[PTPN11i]	2.9705128205128206
[VAV1i]-[GRAP2i]	2.9744444444444444
[VAV1i]-[MAP3K11i]	2.9744444444444444
[VAV1i]-[MAP3K4i]	2.9744444444444444
[VAV1i]-[MAP2K4i]	2.9841954022988504
[VAV1i]-[DUSP1i]	2.8376168224299065
[VAV1i]-[MAP3K5i]	2.9744444444444444
[VAV1i]-[MAP2K3i]	2.9744444444444444
[VAV1i]-[DUSP6i]	2.9644886363636362
[VAV1i]-[RAF_fi]	2.9716666666666667
[VAV1i]-[KRASi]	2.972668810289389
[VAV1i]-[RTPK_fi]	2.112590799031477
[VAV1i]-[SOS1i]	2.9800469483568075
[VAV1i]-[GRB2i]	2.9698795180722892
[VAV1i]-[PLCG1i]	2.9744444444444444
[VAV1i]-[PTPN6i]	2.9744444444444444
[VAV1i]-[SYKi]	2.9744444444444444
[VAV1i]-[CASP9i]	2.9944444444444445
[VAV1i]-[PDPK1i]	2.5390625
[VAV1i]-[ILKi]	2.97
