Perturbation	Response excess over subset
[CSKi]-[PRKACAi]	0.0
[CSKi]-[PRKCAi]	0.0
[CSKi]-[VAV1i]	0.0
[CSKi]-[RSK_fi]	0.0
[CSKi]-[SKP2i]	0.0
[CSKi]-[TGFB1i]	0.0
[CSKi]-[LIFi]	0.0
[CSKi]-[ILR_fi]	0.0
[CSKi]-[CREBBPi]	0.0
[CSKi]-[DUSP1_gi]	0.0
[CSKi]-[EP300i]	0.0
[CSKi]-[SMAD7_gi]	0.0
[CSKi]-[SMAD6_gi]	0.0
[CSKi]-[CCND1i]	0.0
[CSKi]-[DKK_gi]	0.0
[CSKi]-[NLKi]	0.0
[CSKi]-[TCF7_fi]	0.0
[CSKi]-[LEF1i]	0.0
[CSKi]-[EGR1i]	0.0
[CSKi]-[MMP_fi]	0.0
[CSKi]-[BTRCi]	0.0
[CSKi]-[CTNNB1i]	0.0
[CSKi]-[SFRP1_gi]	0.0
[CSKi]-[SFRP1i]	0.0
[CSKi]-[CFLARi]	0.0
[CSKi]-[MSK_fi]	0.0
[CSKi]-[RTPK_gi]	0.0
[CSKi]-[FZD_fi]	0.0
[CSKi]-[DKK_fi]	0.0
[CSKi]-[LRP_fi]	0.0
[CSKi]-[PIK3CAi]	0.0
[CSKi]-[MAP3K8i]	0.0
[CSKi]-[BAXi]	0.0
[CSKi]-[CYCSi]	0.0
[CSKi]-[S6K_fi]	0.0
[CSKi]-[MDM2_gi]	0.0
[CSKi]-[mTORC2_ci]	0.0
[CSKi]-[BADi]	0.0
[CSKi]-[RHEBi]	0.0
[CSKi]-[BCL2i]	0.0
[CSKi]-[AKT1S1i]	0.0
[CSKi]-[TSC_fi]	0.0
[CSKi]-[FOXO_fi]	0.0
[CSKi]-[PTEN_gi]	0.0
[CSKi]-[CASP8i]	0.0
[CSKi]-[IRS1i]	0.0
[CSKi]-[CHUKi]	0.0
[CSKi]-[GAB_fi]	0.0
[CSKi]-[PTPN11i]	0.0
[CSKi]-[GRAP2i]	0.0
[CSKi]-[MAP3K11i]	0.0
[CSKi]-[MAP3K4i]	0.0
[CSKi]-[MAP2K4i]	0.0
[CSKi]-[DUSP1i]	0.0
[CSKi]-[MAP3K5i]	0.0
[CSKi]-[MAP2K3i]	0.0
[CSKi]-[DUSP6i]	0.0
[CSKi]-[RAF_fi]	0.0
[CSKi]-[KRASi]	0.0
[CSKi]-[RTPK_fi]	0.0
[CSKi]-[SOS1i]	0.0
[CSKi]-[GRB2i]	0.0
[CSKi]-[PLCG1i]	-0.0011111111111112848
[CSKi]-[PTPN6i]	0.0
